======================================================================
 Oblivious Join Complexity (O(N*M)) & Time Log
======================================================================

--- 启动 Join 阶段: Table_A ⨝ Table_B (Pipelined) ---
  [Pairing] Bucket A: 470      | Bucket B: 450      | 扫描次数 (A*B): 211,500     
  [Pairing] Bucket A: 474      | Bucket B: 450      | 扫描次数 (A*B): 213,300     
  [Pairing] Bucket A: 474      | Bucket B: 472      | 扫描次数 (A*B): 223,728     
  [Pairing] Bucket A: 496      | Bucket B: 472      | 扫描次数 (A*B): 234,112     
  [Pairing] Bucket A: 496      | Bucket B: 495      | 扫描次数 (A*B): 245,520     
  [Pairing] Bucket A: 518      | Bucket B: 495      | 扫描次数 (A*B): 256,410     
  [Pairing] Bucket A: 518      | Bucket B: 482      | 扫描次数 (A*B): 249,676     
  [Pairing] Bucket A: 466      | Bucket B: 482      | 扫描次数 (A*B): 224,612     
  [Pairing] Bucket A: 466      | Bucket B: 497      | 扫描次数 (A*B): 231,602     
  [Pairing] Bucket A: 492      | Bucket B: 497      | 扫描次数 (A*B): 244,524     
  [Pairing] Bucket A: 492      | Bucket B: 461      | 扫描次数 (A*B): 226,812     
  [Pairing] Bucket A: 501      | Bucket B: 461      | 扫描次数 (A*B): 230,961     
  [Pairing] Bucket A: 469      | Bucket B: 461      | 扫描次数 (A*B): 216,209     
  [Pairing] Bucket A: 469      | Bucket B: 483      | 扫描次数 (A*B): 226,527     
  [Pairing] Bucket A: 471      | Bucket B: 483      | 扫描次数 (A*B): 227,493     
  [Pairing] Bucket A: 471      | Bucket B: 516      | 扫描次数 (A*B): 243,036     
  [Pairing] Bucket A: 528      | Bucket B: 516      | 扫描次数 (A*B): 272,448     
  [Pairing] Bucket A: 528      | Bucket B: 505      | 扫描次数 (A*B): 266,640     
  [Pairing] Bucket A: 504      | Bucket B: 505      | 扫描次数 (A*B): 254,520     
  [Pairing] Bucket A: 513      | Bucket B: 505      | 扫描次数 (A*B): 259,065     
  [Pairing] Bucket A: 513      | Bucket B: 478      | 扫描次数 (A*B): 245,214     
  [Pairing] Bucket A: 501      | Bucket B: 478      | 扫描次数 (A*B): 239,478     
  [Pairing] Bucket A: 501      | Bucket B: 510      | 扫描次数 (A*B): 255,510     
  [Pairing] Bucket A: 509      | Bucket B: 510      | 扫描次数 (A*B): 259,590     
  [Pairing] Bucket A: 509      | Bucket B: 520      | 扫描次数 (A*B): 264,680     
  [Pairing] Bucket A: 505      | Bucket B: 520      | 扫描次数 (A*B): 262,600     
  [Pairing] Bucket A: 505      | Bucket B: 510      | 扫描次数 (A*B): 257,550     
  [Pairing] Bucket A: 518      | Bucket B: 510      | 扫描次数 (A*B): 264,180     
  [Pairing] Bucket A: 499      | Bucket B: 510      | 扫描次数 (A*B): 254,490     
  [Pairing] Bucket A: 499      | Bucket B: 489      | 扫描次数 (A*B): 244,011     
  [Pairing] Bucket A: 498      | Bucket B: 489      | 扫描次数 (A*B): 243,522     
  [Pairing] Bucket A: 498      | Bucket B: 502      | 扫描次数 (A*B): 249,996     
  [Pairing] Bucket A: 520      | Bucket B: 502      | 扫描次数 (A*B): 261,040     
  [Pairing] Bucket A: 520      | Bucket B: 502      | 扫描次数 (A*B): 261,040     
  [Pairing] Bucket A: 485      | Bucket B: 502      | 扫描次数 (A*B): 243,470     
  [Pairing] Bucket A: 485      | Bucket B: 448      | 扫描次数 (A*B): 217,280     
  [Pairing] Bucket A: 462      | Bucket B: 448      | 扫描次数 (A*B): 206,976     
  [Pairing] Bucket A: 462      | Bucket B: 493      | 扫描次数 (A*B): 227,766     
  [Pairing] Bucket A: 505      | Bucket B: 493      | 扫描次数 (A*B): 248,965     
  [Pairing] Bucket A: 503      | Bucket B: 493      | 扫描次数 (A*B): 247,979     
  [Pairing] Bucket A: 503      | Bucket B: 501      | 扫描次数 (A*B): 252,003     
  [Pairing] Bucket A: 498      | Bucket B: 501      | 扫描次数 (A*B): 249,498     
  [Pairing] Bucket A: 498      | Bucket B: 516      | 扫描次数 (A*B): 256,968     
  [Pairing] Bucket A: 508      | Bucket B: 516      | 扫描次数 (A*B): 262,128     
  [Pairing] Bucket A: 508      | Bucket B: 496      | 扫描次数 (A*B): 251,968     
  [Pairing] Bucket A: 464      | Bucket B: 496      | 扫描次数 (A*B): 230,144     
  [Pairing] Bucket A: 464      | Bucket B: 478      | 扫描次数 (A*B): 221,792     
  [Pairing] Bucket A: 441      | Bucket B: 478      | 扫描次数 (A*B): 210,798     
  [Pairing] Bucket A: 498      | Bucket B: 478      | 扫描次数 (A*B): 238,044     
  [Pairing] Bucket A: 498      | Bucket B: 501      | 扫描次数 (A*B): 249,498     
  [Pairing] Bucket A: 486      | Bucket B: 501      | 扫描次数 (A*B): 243,486     
  [Pairing] Bucket A: 486      | Bucket B: 514      | 扫描次数 (A*B): 249,804     
  [Pairing] Bucket A: 512      | Bucket B: 514      | 扫描次数 (A*B): 263,168     
  [Pairing] Bucket A: 512      | Bucket B: 495      | 扫描次数 (A*B): 253,440     
  [Pairing] Bucket A: 497      | Bucket B: 495      | 扫描次数 (A*B): 246,015     
  [Pairing] Bucket A: 497      | Bucket B: 481      | 扫描次数 (A*B): 239,057     
  [Pairing] Bucket A: 482      | Bucket B: 481      | 扫描次数 (A*B): 231,842     
  [Pairing] Bucket A: 452      | Bucket B: 481      | 扫描次数 (A*B): 217,412     
  [Pairing] Bucket A: 452      | Bucket B: 503      | 扫描次数 (A*B): 227,356     
  [Pairing] Bucket A: 490      | Bucket B: 503      | 扫描次数 (A*B): 246,470     
  [Pairing] Bucket A: 490      | Bucket B: 519      | 扫描次数 (A*B): 254,310     
  [Pairing] Bucket A: 511      | Bucket B: 519      | 扫描次数 (A*B): 265,209     
  [Pairing] Bucket A: 511      | Bucket B: 512      | 扫描次数 (A*B): 261,632     
  [Pairing] Bucket A: 500      | Bucket B: 512      | 扫描次数 (A*B): 256,000     
  [Pairing] Bucket A: 500      | Bucket B: 497      | 扫描次数 (A*B): 248,500     
  [Pairing] Bucket A: 514      | Bucket B: 497      | 扫描次数 (A*B): 255,458     
  [Pairing] Bucket A: 508      | Bucket B: 497      | 扫描次数 (A*B): 252,476     
  [Pairing] Bucket A: 508      | Bucket B: 499      | 扫描次数 (A*B): 253,492     
  [Pairing] Bucket A: 495      | Bucket B: 499      | 扫描次数 (A*B): 247,005     
